epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2284.99,0.67319,0.5855,1.13783,0.95842,0.92967,0.97492,0.84587,0.51881,0.40578,0.9586,0.000848969,0.000848969,0.000848969
43,2340.8,0.66695,0.59446,1.13895,0.97111,0.93084,0.97814,0.85661,0.50275,0.36304,0.9476,0.000834822,0.000834822,0.000834822
44,2397.25,0.66833,0.58284,1.13262,0.95482,0.94322,0.97628,0.84626,0.51927,0.38817,0.95724,0.000820675,0.000820675,0.000820675
45,2452.36,0.65388,0.57261,1.12638,0.9576,0.95328,0.98264,0.86193,0.49258,0.35964,0.93637,0.000806528,0.000806528,0.000806528
46,2505.67,0.64987,0.56311,1.12735,0.95232,0.95282,0.9825,0.86698,0.4865,0.35509,0.93358,0.00079238,0.00079238,0.00079238
47,2559.34,0.65598,0.57149,1.1237,0.96454,0.94816,0.98307,0.87578,0.47347,0.33914,0.92469,0.000778233,0.000778233,0.000778233
48,2612.77,0.65029,0.57079,1.12826,0.96342,0.942,0.98023,0.86536,0.47539,0.37946,0.92682,0.000764086,0.000764086,0.000764086
49,2667.73,0.64504,0.54814,1.12269,0.96935,0.95348,0.9848,0.8728,0.47511,0.3331,0.92654,0.000749939,0.000749939,0.000749939
50,2720.84,0.63912,0.55498,1.11261,0.95762,0.95769,0.98158,0.86348,0.47901,0.33576,0.92479,0.000735792,0.000735792,0.000735792
51,2774.29,0.64017,0.54851,1.10876,0.96637,0.91183,0.96831,0.85051,0.47927,0.35645,0.93496,0.000721645,0.000721645,0.000721645
52,2827.61,0.64031,0.55062,1.11237,0.96485,0.95726,0.98257,0.87506,0.45443,0.33145,0.91068,0.000707498,0.000707498,0.000707498
53,2888.23,0.62452,0.52304,1.10528,0.97004,0.94922,0.98421,0.87483,0.46528,0.33406,0.92125,0.000693351,0.000693351,0.000693351
54,2949.52,0.63992,0.5414,1.12025,0.96793,0.95217,0.98575,0.87564,0.46733,0.3349,0.92975,0.000679204,0.000679204,0.000679204
55,3006.98,0.61762,0.52508,1.10127,0.97079,0.95323,0.98539,0.88408,0.46195,0.32284,0.91379,0.000665057,0.000665057,0.000665057
56,3061.59,0.62414,0.52121,1.1002,0.97473,0.95684,0.98562,0.88344,0.4462,0.31996,0.90267,0.000650909,0.000650909,0.000650909
57,3115.97,0.61974,0.52838,1.10623,0.96706,0.95163,0.98514,0.88593,0.44783,0.32026,0.90533,0.000636762,0.000636762,0.000636762
58,3171.64,0.60467,0.51187,1.09222,0.97296,0.9532,0.98538,0.88518,0.44344,0.30874,0.90219,0.000622615,0.000622615,0.000622615
59,3227.2,0.61647,0.52811,1.10511,0.96833,0.96044,0.98759,0.88349,0.44866,0.3191,0.90682,0.000608468,0.000608468,0.000608468
60,3280.46,0.5942,0.5002,1.09231,0.98123,0.94826,0.98663,0.88767,0.43762,0.30371,0.89952,0.000594321,0.000594321,0.000594321
61,3333.86,0.60492,0.50845,1.09148,0.94832,0.9513,0.98447,0.88689,0.44084,0.326,0.89498,0.000580174,0.000580174,0.000580174
