epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1094.53,1.14241,1.15925,1.36253,0.83153,0.71383,0.79065,0.56169,1.12919,0.97654,1.27733,0.0032675,0.0032675,0.0032675
44,1127.14,1.14742,1.17685,1.37014,0.79909,0.69324,0.75085,0.54343,1.15748,1.0443,1.26723,0.00322625,0.00322625,0.00322625
45,1161.3,1.14707,1.16195,1.3626,0.82356,0.71653,0.78809,0.55487,1.11964,0.93998,1.26034,0.003185,0.003185,0.003185
46,1188.55,1.13466,1.15928,1.35714,0.814,0.67675,0.7549,0.5528,1.10408,1.01277,1.2459,0.00314375,0.00314375,0.00314375
47,1213.11,1.13084,1.14524,1.35803,0.83589,0.7293,0.79623,0.57084,1.11575,0.92089,1.25618,0.0031025,0.0031025,0.0031025
48,1238.67,1.14978,1.1596,1.3647,0.82089,0.74397,0.79395,0.57323,1.12731,0.91432,1.23533,0.00306125,0.00306125,0.00306125
49,1264.16,1.1294,1.11869,1.34881,0.81536,0.76484,0.8139,0.5942,1.05676,0.85305,1.19855,0.00302,0.00302,0.00302
50,1290,1.12207,1.11701,1.34987,0.83711,0.67772,0.76056,0.55277,1.09433,1.04707,1.23054,0.00297875,0.00297875,0.00297875
51,1316.88,1.12645,1.11854,1.35141,0.83798,0.71332,0.78526,0.55757,1.08704,0.90518,1.23181,0.0029375,0.0029375,0.0029375
52,1347.68,1.13147,1.11892,1.34896,0.86499,0.72089,0.80754,0.57816,1.09146,0.91524,1.22682,0.00289625,0.00289625,0.00289625
53,1374.24,1.11248,1.10257,1.34474,0.8818,0.7405,0.82455,0.59899,1.04616,0.86734,1.20199,0.002855,0.002855,0.002855
54,1400.19,1.10286,1.08916,1.33442,0.82132,0.72747,0.78711,0.56694,1.08434,0.92795,1.23785,0.00281375,0.00281375,0.00281375
55,1425.69,1.13259,1.11799,1.35566,0.8356,0.71746,0.78801,0.57191,1.08527,0.97199,1.24502,0.0027725,0.0027725,0.0027725
56,1451.09,1.09681,1.07226,1.33019,0.85782,0.75744,0.82275,0.59919,1.04142,0.83112,1.19549,0.00273125,0.00273125,0.00273125
57,1476.57,1.09179,1.0619,1.33061,0.83614,0.74057,0.81036,0.59703,1.04971,0.89039,1.19833,0.00269,0.00269,0.00269
58,1502.07,1.09184,1.06848,1.32607,0.87524,0.74776,0.82402,0.6114,1.0227,0.83521,1.17042,0.00264875,0.00264875,0.00264875
59,1527.7,1.08514,1.04874,1.31954,0.86792,0.76059,0.83109,0.6228,1.001,0.81629,1.16426,0.0026075,0.0026075,0.0026075
60,1553.25,1.07706,1.02951,1.31759,0.88148,0.74978,0.82698,0.6207,1.01099,0.81794,1.16672,0.00256625,0.00256625,0.00256625
61,1578.82,1.07413,1.05142,1.31395,0.87391,0.76297,0.82816,0.62263,0.9987,0.8116,1.17012,0.002525,0.002525,0.002525
62,1604.4,1.0827,1.04919,1.32013,0.87291,0.72293,0.80968,0.58874,1.08271,0.85946,1.21322,0.00248375,0.00248375,0.00248375
63,1629.07,1.07354,1.02808,1.31518,0.8568,0.7419,0.80963,0.58166,1.08076,0.87841,1.24607,0.0024425,0.0024425,0.0024425
64,1652.75,1.07291,1.04291,1.3165,0.82624,0.74915,0.80522,0.59375,1.0559,0.8724,1.22742,0.00240125,0.00240125,0.00240125
65,1678.88,1.06069,1.02037,1.30503,0.88434,0.75234,0.82389,0.61476,1.00483,0.81235,1.16363,0.00236,0.00236,0.00236
