epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2448.55,0.66008,0.58671,1.13203,0.95686,0.94102,0.97571,0.84343,0.51873,0.39969,0.97857,0.000848969,0.000848969,0.000848969
43,2508.52,0.6719,0.60179,1.14438,0.95993,0.93257,0.97464,0.84522,0.51232,0.3967,0.96645,0.000834822,0.000834822,0.000834822
44,2568.39,0.65875,0.58114,1.12985,0.9486,0.94174,0.97348,0.84373,0.52326,0.38984,0.96881,0.000820675,0.000820675,0.000820675
45,2627.95,0.65645,0.57057,1.13182,0.96076,0.94428,0.97631,0.85662,0.49298,0.35479,0.94301,0.000806528,0.000806528,0.000806528
46,2688.09,0.6477,0.56096,1.12862,0.94997,0.95193,0.97546,0.85795,0.49727,0.38079,0.95423,0.00079238,0.00079238,0.00079238
47,2749.34,0.65838,0.57281,1.13014,0.97003,0.94156,0.98151,0.8688,0.47739,0.35196,0.93312,0.000778233,0.000778233,0.000778233
48,2809.73,0.65575,0.5702,1.13454,0.96155,0.93352,0.97428,0.86184,0.48155,0.37382,0.93577,0.000764086,0.000764086,0.000764086
49,2869.32,0.63668,0.54715,1.12035,0.96234,0.94633,0.98086,0.87351,0.47266,0.34885,0.92641,0.000749939,0.000749939,0.000749939
50,2928.98,0.64172,0.56374,1.11807,0.96106,0.95288,0.98197,0.85741,0.4946,0.34899,0.94751,0.000735792,0.000735792,0.000735792
51,2988.54,0.63626,0.54612,1.11162,0.96237,0.94505,0.98258,0.86505,0.4887,0.35043,0.94078,0.000721645,0.000721645,0.000721645
52,3044.99,0.64005,0.55121,1.11325,0.97848,0.94404,0.98179,0.86387,0.47413,0.33246,0.93132,0.000707498,0.000707498,0.000707498
53,3101.57,0.62642,0.5308,1.10931,0.95769,0.94288,0.98008,0.8751,0.45896,0.34264,0.9213,0.000693351,0.000693351,0.000693351
54,3157.77,0.64517,0.55226,1.12563,0.96937,0.93792,0.97979,0.87309,0.45584,0.33042,0.92134,0.000679204,0.000679204,0.000679204
55,3214.46,0.61515,0.52997,1.10794,0.96723,0.95668,0.97971,0.87594,0.46683,0.33949,0.92242,0.000665057,0.000665057,0.000665057
56,3273.95,0.61996,0.52885,1.10655,0.96928,0.95388,0.98317,0.87536,0.4618,0.33513,0.92021,0.000650909,0.000650909,0.000650909
57,3334.26,0.62002,0.53753,1.11623,0.97358,0.9501,0.98304,0.88132,0.45846,0.32749,0.91479,0.000636762,0.000636762,0.000636762
58,3394.25,0.60989,0.51739,1.10306,0.97226,0.9497,0.98104,0.87777,0.45658,0.31902,0.91184,0.000622615,0.000622615,0.000622615
59,3454.99,0.62057,0.52926,1.11308,0.96737,0.9541,0.97999,0.88112,0.45423,0.33424,0.91463,0.000608468,0.000608468,0.000608468
60,3515.03,0.6035,0.50431,1.09944,0.96754,0.95988,0.98255,0.88921,0.43604,0.30727,0.89964,0.000594321,0.000594321,0.000594321
61,3574.69,0.6028,0.50377,1.09569,0.96432,0.95525,0.98452,0.88035,0.44879,0.3114,0.90448,0.000580174,0.000580174,0.000580174
62,3632.74,0.61818,0.51476,1.11015,0.97285,0.95043,0.98501,0.88697,0.44263,0.31878,0.90488,0.000566027,0.000566027,0.000566027
63,3688.84,0.5992,0.50541,1.09249,0.97136,0.95939,0.98601,0.89259,0.42968,0.31567,0.89263,0.00055188,0.00055188,0.00055188
64,3746.2,0.60718,0.50146,1.0962,0.98118,0.95366,0.98755,0.89426,0.43057,0.30043,0.89,0.000537733,0.000537733,0.000537733
65,3802.73,0.59042,0.49361,1.08932,0.97083,0.95693,0.98637,0.89231,0.43744,0.30782,0.89539,0.000523586,0.000523586,0.000523586
66,3858.75,0.60792,0.49857,1.09449,0.97482,0.95656,0.98818,0.9003,0.41784,0.29217,0.88434,0.000509438,0.000509438,0.000509438
67,3914.96,0.59239,0.49292,1.08628,0.96923,0.94221,0.98241,0.86755,0.44863,0.30472,0.91007,0.000495291,0.000495291,0.000495291
68,3971.21,0.59349,0.48438,1.0838,0.9757,0.95851,0.98654,0.90168,0.41317,0.29056,0.87735,0.000481144,0.000481144,0.000481144
69,4027.53,0.57875,0.47267,1.07527,0.97556,0.96049,0.9889,0.90189,0.40841,0.28679,0.87474,0.000466997,0.000466997,0.000466997
70,4084.39,0.57876,0.47338,1.07844,0.96877,0.96742,0.98813,0.90117,0.41076,0.29143,0.87651,0.00045285,0.00045285,0.00045285
71,4143.04,0.5739,0.47453,1.07734,0.96947,0.96749,0.98944,0.90271,0.40837,0.27735,0.87358,0.000438703,0.000438703,0.000438703
72,4202.74,0.59271,0.4766,1.08593,0.97271,0.96201,0.98697,0.89476,0.41125,0.2864,0.87576,0.000424556,0.000424556,0.000424556
73,4262.52,0.58499,0.48446,1.08159,0.97669,0.96723,0.99011,0.90807,0.39567,0.27631,0.86452,0.000410409,0.000410409,0.000410409
74,4321.43,0.57182,0.4584,1.07864,0.96893,0.97007,0.98797,0.90583,0.39939,0.28359,0.86517,0.000396262,0.000396262,0.000396262
75,4379.98,0.55737,0.45375,1.06174,0.97736,0.96565,0.99012,0.90523,0.40716,0.27262,0.87088,0.000382115,0.000382115,0.000382115
76,4438.72,0.55807,0.45905,1.07089,0.97315,0.97314,0.99132,0.90998,0.40082,0.27416,0.86612,0.000367967,0.000367967,0.000367967
77,4497.39,0.56715,0.45316,1.07356,0.98444,0.96957,0.99176,0.91064,0.3952,0.26502,0.86302,0.00035382,0.00035382,0.00035382
